lyrics,emotion
ketika aku mendengar bahwa,bahagia
kini kau tidak lagi dengannya,bahagia
dalam benakku timbul tanya,bahagia
masihkah ada dia di hatimu bertahta,bahagia
atau ini saat bagiku untuk singgah di hatimu,bahagia
namun siapkah kau untuk jatuh cinta lagi,bahagia
meski bibir ini tidak berkata,bahagia
bukan berarti aku tidak merasa,bahagia
ada yang berbeda di antara kita,bahagia
dan tidak mungkin aku melewatkanmu hanya karena,bahagia
diriku tidak mampu untuk bicara,bahagia
bahwa aku inginkan kau ada di hidupku,bahagia
kini aku tidak lagi dengannya,bahagia
sudah tidak ada lagi rasa,bahagia
antara aku dengan dia,bahagia
siapkah kau bertahta di hatiku adinda,bahagia
karena ini saat yang tepat untuk singgah di hatiku,bahagia
namun siapkah kau untuk jatuh cinta lagi,bahagia
meski bibir ini tidak berkata,bahagia
bukan berarti aku tidak merasa,bahagia
ada yang berbeda di antara kita,bahagia
dan tidak mungkin aku melewatkanmu hanya karena,bahagia
diriku tidak mampu untuk bicara,bahagia
bahwa aku inginkan kau ada di hidupku,bahagia
melangkah menuju ke hatimu,bahagia
melangkah menuju ke hatimu,bahagia
siapkah kau untuk jatuh cinta lagi,bahagia
meski bibir ini tidak berkata,bahagia
bukan berarti aku tidak merasa,bahagia
ada yang berbeda di antara kita,bahagia
dan tidak mungkin aku melewatkanmu hanya karena,bahagia
diriku tidak mampu untuk bicara,bahagia
bahwa aku inginkan kau ada di hidupku,bahagia
meski bibir ini tidak berkata,bahagia
bukan berarti aku tidak merasa,bahagia
ada yang berbeda di antara kita,bahagia
dan tidak mungkin aku melewatkanmu hanya karena,bahagia
diriku tidak mampu untuk bicara,bahagia
bahwa aku inginkan kau ada di hidupku,bahagia
bila kau jatuh cinta katakanlah jangan buat sia sia,bahagia
bila kau jatuh cinta katakanlah jangan buat sia sia,bahagia
bila kau jatuh cinta katakanlah jangan buat sia sia,bahagia
siapkah kau untuk jatuh cinta lagi,bahagia
meski bibir ini tidak berkata,bahagia
bukan berarti aku tidak merasa,bahagia
ada yang berbeda di antara kita,bahagia
dan tidak mungkin aku melewatkanmu hanya karena,bahagia
diriku tidak mampu untuk bicara,bahagia
bahwa aku inginkan kau ada di hidupku,bahagia
ketika aku mendengar bahwa. kini kau tidak lagi dengannya. dalam benakku timbul tanya. masihkah ada dia di hatimu bertahta . atau ini saat bagiku untuk singgah di hatimu . namun siapkah kau untuk jatuh cinta lagi . meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. kini aku tidak lagi dengannya. sudah tidak ada lagi rasa. antara aku dengan dia. siapkah kau bertahta di hatiku adinda . karena ini saat yang tepat untuk singgah di hatiku. namun siapkah kau untuk jatuh cinta lagi . meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. pikirlah saja dulu. hingga tiada ragu. agar mulus jalanku. melangkah menuju ke hatimu. pikirlah saja dulu. hingga tiada ragu. agar mulus jalanku. melangkah menuju ke hatimu. siapkah kau untuk jatuh cinta lagi . meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. bila kau jatuh cinta katakanlah jangan buat sia sia. bila kau jatuh cinta katakanlah jangan buat sia sia. bila kau jatuh cinta katakanlah jangan buat sia sia. siapkah kau untuk jatuh cinta lagi meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku,bahagia
sial kau racuni pikiran,takut
kita dipisahkan keadaan,takut
aku menampar diri sendiri agar cepat,takut
kembali ke bumi dan melupakan semua,takut
kesendirian ini menyiksa diriku perlahan,takut
kita dipisahkan kenyataan,takut
tidak seharusnya aku kehilanganmu,takut
tidak seharusnya aku merindu,takut
biarkan aku pergi melawan hati,takut
terpuruk dan hancur tanpamu,takut
mengapa bayangmu terus ada setiap aku memejamkan mata,takut
semua kenanganmu membuat diriku tidak bisa berpikir jernih,takut
tolong keluar dari kepala aku tidak mau menjadi gila,takut
berpisah kita sakit namun bersama kita lebih terluka,takut
tidak seharusnya aku kehilanganmu,takut
tidak seharusnya aku merindu,takut
biarkan aku pergi melawan hati,takut
terpuruk dan hancur tanpamu,takut
tak seharusnya aku kehilanganmu,takut
tidak seharusnya aku merindu,takut
biarkan aku pergi melawan hati,takut
terpuruk dan hancur tanpamu,takut
harus berkata apa . sial kau racuni pikiran. kita dipisahkan keadaan. . aku menampar diri sendiri agar cepat. kembali ke bumi dan melupakan semua. kesendirian ini menyiksa diriku perlahan. kita dipisahkan kenyataan. . tidak seharusnya aku kehilanganmu. tidak seharusnya aku merindu. biarkan aku pergi melawan hati. terpuruk dan hancur tanpamu. . huuuu. huuuu. huuuu. huuuu. . mengapa bayangmu terus ada setiap aku memejamkan mata . semua kenanganmu membuat diriku tidak bisa berpikir jernih. tolong keluar dari kepala aku tidak mau menjadi gila. berpisah kita sakit namun bersama kita lebih terluka. . tidak seharusnya aku kehilanganmu. tidak seharusnya aku merindu. biarkan aku pergi melawan hati. terpuruk dan hancur tanpamu. . tanpamu. tanpamu tak seharusnya aku kehilanganmu. tidak seharusnya aku merindu. biarkan aku pergi melawan hati. terpuruk dan hancur tanpamu,takut
atau mungkin kita hanya,takut
jika surga dan neraka tidak pernah ada,takut
masihkan kau bersujud kepada nya,takut
jika surga dan neraka tidak pernah ada,takut
masihkah kau menyebut nama nya,takut
benar benar sujud sepenuh hati,takut
kar nya sungguh memang dia,takut
memang pantas disembah,takut
atau mungkin kita hanya,takut
benar benar sujud sepenuh hati,takut
kar nya sungguh memang dia,takut
memang pantas disembah,takut
jika surga dan neraka tidak pernah ada,takut
masihkan kau bersujud kepada nya,takut
jika surga dan neraka tidak pernah ada,takut
masihkah kau menyebut nama nya,takut
jika surga dan neraka tidak pernah ada,takut
masihkan kau bersujud kepada nya,takut
jika surga dan neraka tidak pernah ada,takut
masihkah kau menyebut nama nya,takut
apakah kita semua. benar benar tulus. menyembah pada nya. atau mungkin kita hanya. takut pada neraka. dan inginkan surga. jika surga dan neraka tidak pernah ada. masihkan kau bersujud kepada nya. jika surga dan neraka tidak pernah ada. masihkah kau menyebut nama nya. bisakah kita semua. benar benar sujud sepenuh hati. kar nya sungguh memang dia. memang pantas disembah. memang pantas dipuja. apakah kita semua. benar benar tulus. menyembah pada nya. atau mungkin kita hanya. takut pada neraka. dan inginkan surga. bisakah kita semua. benar benar sujud sepenuh hati. kar nya sungguh memang dia. memang pantas disembah. memang pantas dipuja. jika surga dan neraka tidak pernah ada. masihkan kau bersujud kepada nya. jika surga dan neraka tidak pernah ada. masihkah kau menyebut nama nya jika surga dan neraka tidak pernah ada. masihkan kau bersujud kepada nya. jika surga dan neraka tidak pernah ada. masihkah kau menyebut nama nya,takut
kemana langkahku pergi,bahagia
aku yakin makna nurani,bahagia
kau takkan pernah terganti,bahagia
saat lautan kau sebrangi,bahagia
janganlah ragu bersauh,bahagia
aku percaya hati kecilku,bahagia
walau keujung dunia pasti akan kunanti,bahagia
meski ke tujuh samudra pasti aku kan menunggu,bahagia
karena aku yakin kau hanya untukku,bahagia
pandanglah bintang berpijar,bahagia
kau tidak pernah tersembunyi,bahagia
walau keujung dunia pasti akan kunanti,bahagia
meski ke tujuh samudra pastu aku kan menunggu,bahagia
karena aku yakin kau hanya untukku,bahagia
meski ketujuh samudra,bahagia
pasti aku kan menunggu,bahagia
meski ketujuh samudra,bahagia
pasti aku kan menunggu,bahagia
meski ketujuh samudra,bahagia
pasti aku kan menunggu,bahagia
karena aku yakin kau hanya untukku,bahagia
karena aku yakin kau hanya untukku,bahagia
meski ketujuh samudra,bahagia
pasti aku kan menunggu,bahagia
kemana langkahku pergi. selalu ada bayangmu. aku yakin makna nurani. kau takkan pernah terganti. saat lautan kau sebrangi. janganlah ragu bersauh. aku percaya hati kecilku. kau takkan berpaling. walau keujung dunia pasti akan kunanti. meski ke tujuh samudra pasti aku kan menunggu. karena aku yakin kau hanya untukku. pandanglah bintang berpijar. kau tidak pernah tersembunyi. dimana engkau berada. disana cintaku. walau keujung dunia pasti akan kunanti. meski ke tujuh samudra pastu aku kan menunggu. karena aku yakin kau hanya untukku. walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. karena aku yakin kau hanya untukku. karena aku yakin kau hanya untukku. hanya untukku walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. karena aku yakin . kau hanya untukku,bahagia
aku termenung di bawah mentari,bahagia
di antara megahnya alam ini,bahagia
menikmati indahnya kasih mu,bahagia
kurasakan damainya hatiku,bahagia
sabda mu bagai air yang mengalir,bahagia
basahi panas terik di hatiku,bahagia
menerangi semua jalanku,bahagia
kurasakan tenteramnya hatiku,bahagia
jangan biarkan damai ini pergi,bahagia
jangan biarkan semuanya berlalu,bahagia
dari semua kepalsuan dunia,bahagia
bila aku jauh dari diri mu,bahagia
akan kutempuh semua perjalanan,bahagia
agar selalu ada dekat mu,bahagia
biar kurasakan lembutnya kasih mu jangan biarkan damai ini pergi,bahagia
jangan biarkan semuanya berlalu,bahagia
hanya padamu tuhan tempatku berteduh,bahagia
dari semua kepalsuan dunia,bahagia
bila kujauh dari dirimu,bahagia
akan kutempuh semua perjalanan,bahagia
hanya padamu tuhan tempatku berteduh,bahagia
dari semua kepalsuan dunia,bahagia
dari semua kepalsuan dunia,bahagia
jangan biarkan damai ini pergi,bahagia
jangan biarkan semuanya berlalu,bahagia
dari semua kepalsuan dunia,bahagia
bila aku jauh dari diri mu,bahagia
akan kutempuh semua perjalanan,bahagia
agar selalu ada dekat mu,bahagia
biar kurasakan lembutnya kasih mu,bahagia
aku termenung di bawah mentari. di antara megahnya alam ini. menikmati indahnya kasih mu. kurasakan damainya hatiku. sabda mu bagai air yang mengalir. basahi panas terik di hatiku. menerangi semua jalanku. kurasakan tenteramnya hatiku. jangan biarkan damai ini pergi. jangan biarkan semuanya berlalu. hanya pada mu tuhan. tempatku berteduh. dari semua kepalsuan dunia. bila aku jauh dari diri mu. akan kutempuh semua perjalanan. agar selalu ada dekat mu. biar kurasakan lembutnya kasih mu jangan biarkan damai ini pergi. jangan biarkan semuanya berlalu. hanya padamu tuhan tempatku berteduh. dari semua kepalsuan dunia. bila kujauh dari dirimu. akan kutempuh semua perjalanan. hanya padamu tuhan tempatku berteduh. dari semua kepalsuan dunia. dari semua kepalsuan dunia. dari semua kepalsuan. kepalsuan dunia jangan biarkan damai ini pergi. jangan biarkan semuanya berlalu. hanya pada mu tuhan. tempatku berteduh. dari semua kepalsuan dunia. bila aku jauh dari diri mu. akan kutempuh semua perjalanan. agar selalu ada dekat mu. biar kurasakan lembutnya kasih mu,bahagia
kurasakan hangat indahnya sang mentari,bahagia
membangunkanku dari tidur yang lelap ini,bahagia
sinarmu yang terang mulai memasuki mata,bahagia
dan mengusirku dari alam mimpi,bahagia
dan kini kubergegas untuk segera siapkan diriku,bahagia
untuk mulai menjalani hari ini,bahagia
tidak sabar aku temui seluruh sahabat yang tersenyum,bahagia
menyambut datangnya pagi ini,bahagia
dan kukatakan selamat pagi,bahagia
embun membasahi dunia dan mulai mengawali hari ini,bahagia
kicau burung bernyanyi dan kini aku siap untuk jalani hari ini kini bergegaslah sipakan dirimu untuk memulai menjalani hari ini,bahagia
embun membasahi dunia dan mulai mengawali hari ini,bahagia
kicau burung bernyanyi dan kini aku siap untuk jalani hari ini kini bergegaslah sipakan dirimu untuk memulai menjalani hari ini,bahagia
kurasakan hangat indahnya sang mentari. membangunkanku dari tidur yang lelap ini. sinarmu yang terang mulai memasuki mata. dan mengusirku dari alam mimpi. dan kini kubergegas untuk segera siapkan diriku. untuk mulai menjalani hari ini. tidak sabar aku temui seluruh sahabat yang tersenyum. menyambut datangnya pagi ini. dan kukatakan selamat pagi . embun membasahi dunia dan mulai mengawali hari ini. dan kukatakan . selamat pagi . kicau burung bernyanyi dan kini aku siap untuk jalani hari ini kini bergegaslah sipakan dirimu untuk memulai menjalani hari ini selamat pagi . embun membasahi dunia dan mulai mengawali hari ini. dan kukatakan . selamat pagi . kicau burung bernyanyi dan kini aku siap untuk jalani hari ini kini bergegaslah sipakan dirimu untuk memulai menjalani hari ini,bahagia
yang tidak bisa terobati,bahagia
melewati yang telah kau lewati,bahagia
rintangan yang kau hadapi,bahagia
masalah yang mengeruh,bahagia
ho perasaan yang rapuh,bahagia
yang selalu ingin ambil peran,bahagia
hanya berlomba menjadi lebih,bahagia
hatimu terluka sempurna,bahagia
masalah yang mengeruh,bahagia
ho perasaan yang rapuh,bahagia
kau bangun untuk bertaruh,bahagia
bilas muka gosok gigi evaluasi,bahagia
tidur sejenak menemui esok pagi,bahagia
walau pedihku bersamamu kali ini,bahagia
aku masih ingin melihatmu esok hari,bahagia
bilas muka gosok gigi evaluasi,bahagia
tidur sejenak menemui esok pagi,bahagia
walau pedihku bersamamu kali ini,bahagia
aku masih ingin melihatmu esok hari,bahagia
bilas muka gosok gigi evaluasi,bahagia
tidur sejenak menemui esok pagi,bahagia
walau pedihku bersamamu kali ini,bahagia
aku masih ingin melihatmu esok hari,bahagia
masalah yang mengeruh,bahagia
ho perasaan yang rapuh,bahagia
bilas muka gosok gigi evaluasi,bahagia
tidur sejenak menemui esok pagi,bahagia
walau pedihku bersamamu kali ini,bahagia
aku masih ingin melihatmu esok hari,bahagia
yang tidak bisa terobati. biarlah. mengering sendiri. menghias tubuh dan. yang mengevaluasi. ragamu. hanya kau sendiri. mereka tidak mampu. melewati yang telah kau lewati. tiap berganti hari. rintangan yang kau hadapi. masalah yang mengeruh. ho perasaan yang rapuh. ini belum separuhnya. biasa saja. kamu tidak apa. yang selalu ingin ambil peran. hanya berlomba menjadi lebih. sedih dari dirimu. muak dikesampingkan. disamakan. hatimu terluka sempurna. masalah yang mengeruh. ho perasaan yang rapuh. ini belum separuhnya. biasa saja. kamu tidak apa. perjalanan yang jauh. kau bangun untuk bertaruh. hari belum selesai. biasa saja. kamu tidak apa. bilas muka gosok gigi evaluasi. tidur sejenak menemui esok pagi. walau pedihku bersamamu kali ini. aku masih ingin melihatmu esok hari. bilas muka gosok gigi evaluasi. tidur sejenak menemui esok pagi. walau pedihku bersamamu kali ini. aku masih ingin melihatmu esok hari. bilas muka gosok gigi evaluasi. tidur sejenak menemui esok pagi. walau pedihku bersamamu kali ini. aku masih ingin melihatmu esok hari masalah yang mengeruh. ho perasaan yang rapuh. ini belum separuhnya. biasa saja. kamu tidak apa. bilas muka gosok gigi evaluasi. tidur sejenak menemui esok pagi. walau pedihku bersamamu kali ini. aku masih ingin melihatmu esok hari,bahagia
aku mencintaimu tanpa syarat,sedih
aku rela menunggu sangat lama,sedih
katamu suatu saat aku pasti,sedih
jadi cintamu satu cintamu,sedih
aku ingin kau menerima seluruh hatiku,sedih
aku ingin kau mengerti di jiwaku hanya kamu,sedih
namun bila kau tidak bisa menerima aku,sedih
lebih baik aku hidup tanpa cinta,sedih
haruskah aku bersabar tanpa batas,sedih
aku masih ingat semua janjimu,sedih
namun setelah kamu mengenal dia,sedih
kau berubah kau tidak sama,sedih
aku ingin kau menerima seluruh hatiku,sedih
aku ingin kau mengerti di jiwaku hanya kamu,sedih
namun bila kau tidak bisa menerima aku,sedih
lebih baik aku hidup tanpa cinta,sedih
bodohkah diriku yang terlalu setia padamu,sedih
di saat kau tidak sungguh sungguh,sedih
mencintai aku mencintai aku,sedih
menginginkan aku menginginkan aku,sedih
aku ingin kau menerima seluruh hatiku,sedih
aku ingin kau mengerti di jiwaku hanya kamu,sedih
namun bila kau tidak bisa menerima aku,sedih
lebih baik aku hidup tanpa cinta,sedih
aku ingin kau menerima seluruh hatiku,sedih
aku ingin kau mengerti di jiwaku hanya kamu,sedih
namun bila kau tidak bisa menerima aku,sedih
lebih baik aku hidup tanpa cinta,sedih
lebih baik aku hidup tanpa cinta,sedih
aku ingin kau menerima seluruh hatiku,sedih
aku ingin kau mengerti di jiwaku hanya kamu,sedih
namun bila kau tidak bisa menerima aku,sedih
lebih baik aku hidup tanpa cinta,sedih
aku mencintaimu tanpa syarat. aku rela menunggu sangat lama. katamu suatu saat aku pasti. jadi cintamu satu cintamu. aku ingin kau menerima seluruh hatiku. aku ingin kau mengerti di jiwaku hanya kamu. namun bila kau tidak bisa menerima aku. lebih baik aku hidup tanpa cinta. haruskah aku bersabar tanpa batas. aku masih ingat semua janjimu. namun setelah kamu mengenal dia. kau berubah kau tidak sama. aku ingin kau menerima seluruh hatiku. aku ingin kau mengerti di jiwaku hanya kamu. namun bila kau tidak bisa menerima aku. lebih baik aku hidup tanpa cinta. bodohkah diriku yang terlalu setia padamu. di saat kau tidak sungguh sungguh. mencintai aku mencintai aku . menginginkan aku menginginkan aku . oh. aku ingin kau menerima seluruh hatiku. aku ingin kau mengerti di jiwaku hanya kamu. namun bila kau tidak bisa menerima aku. lebih baik aku hidup tanpa cinta. aku ingin kau menerima seluruh hatiku. aku ingin kau mengerti di jiwaku hanya kamu. namun bila kau tidak bisa menerima aku. lebih baik aku hidup tanpa cinta. lebih baik aku hidup tanpa cinta. ouwooo aku ingin kau menerima seluruh hatiku. aku ingin kau mengerti di jiwaku hanya kamu. namun bila kau tidak bisa menerima aku. lebih baik aku hidup tanpa cinta,sedih
di malam yang sesunyi ini,sedih
akhirnya kini kusadari,sedih
adakah semua akan terulang,sedih
hanya dirimu yang kucinta dan kukenang,sedih
di dalam hatiku takkan pernah hilang,sedih
bayangan dirimu untuk selamanya,sedih
mengapa terjadi kepada dirimu,sedih
aku tidak percaya kau telah tiada,sedih
haruskah kupergi tinggalkan dunia,sedih
agar aku dapat berjumpa denganmu,sedih
di malam yang sesunyi ini,sedih
akhirnya kini kusadari,sedih
adakah semua akan terulang,sedih
hanya dirimu yang kucinta dan kukenang,sedih
di dalam hatiku takkan pernah hilang,sedih
bayangan dirimu untuk selamanya oh,sedih
mengapa terjadi kepada dirimu,sedih
aku tidak percaya kau telah tiada,sedih
haruskah kupergi tinggalkan dunia,sedih
agar aku dapat berjumpa denganmu,sedih
oh mengapa terjadi kepada dirimu,sedih
aku tidak percaya kau telah tiada,sedih
mengapa terjadi kepada dirimu,sedih
aku tidak percaya kau telah tiada,sedih
haruskah aku pergi tinggalkan dunia,sedih
agar aku dapat berjumpa denganmu,sedih
mengapa terjadi kepada dirimu,sedih
aku tidak percaya kau telah tiada,sedih
haruskah kupergi tinggalkan dunia,sedih
agar aku dapat berjumpa denganmu,sedih
di malam yang sesunyi ini. aku sendiri. tiada yang menemani. akhirnya kini kusadari. dia telah pergi. tinggalkan diriku. adakah semua akan terulang . kisah cintaku. yang seperti dulu. hanya dirimu yang kucinta dan kukenang. di dalam hatiku takkan pernah hilang. bayangan dirimu untuk selamanya. mengapa terjadi kepada dirimu . aku tidak percaya kau telah tiada. haruskah kupergi tinggalkan dunia . agar aku dapat berjumpa denganmu. di malam yang sesunyi ini. aku sendiri. tiada yang menemani. akhirnya kini kusadari. dia telah pergi. tinggalkan diriku. adakah semua akan terulang. kisah cintaku. yang seperti dulu. hanya dirimu yang kucinta dan kukenang. di dalam hatiku takkan pernah hilang. bayangan dirimu untuk selamanya oh. mengapa terjadi kepada dirimu . aku tidak percaya kau telah tiada. haruskah kupergi tinggalkan dunia . agar aku dapat berjumpa denganmu. oh mengapa terjadi kepada dirimu . aku tidak percaya kau telah tiada. mengapa terjadi kepada dirimu . aku tidak percaya kau telah tiada. haruskah aku pergi tinggalkan dunia . agar aku dapat berjumpa denganmu mengapa terjadi kepada dirimu . aku tidak percaya kau telah tiada. haruskah kupergi tinggalkan dunia . agar aku dapat berjumpa denganmu,sedih
mencoba untuk melupakan,sedih
segala kenangan indah tentang dirimu,sedih
bayangmu semakin nyata,sedih
merasuk hingga ke jiwa,sedih
tuhan tolonglah diriku,sedih
entah dimana dirimu berada,sedih
hampa terasa hidupku tanpa dirimu,sedih
apakah disana kau rindukan aku,sedih
seperti diriku yang selalu merindukanmu,sedih
tidak bisa aku ingkari,sedih
engkaulah satu satunya,sedih
yang bisa membuat jiwaku,sedih
yang pernah mati menjadi berarti,sedih
namun kini kau menghilang,sedih
bagaikan ditelan bumi,sedih
tidak pernah kah kau sadari,sedih
entah dimana dirimu berada,sedih
hampa terasa hidupku tanpa dirimu,sedih
apakah disana kau rindukan aku,sedih
seperti diriku yang selalu merindukanmu,sedih
entah dimana dirimu berada,sedih
hampa terasa hidupku tanpa dirimu,sedih
apakah disana kau rindukan aku,sedih
seperti diriku yang selalu merindukanmu,sedih
entah dimana dirimu berada,sedih
hampa terasa hidupku tanpa dirimu,sedih
apakah disana kau rindukan aku,sedih
seperti diriku yang selalu merindukanmu,sedih
entah dimana dirimu berada,sedih
hampa terasa hidupku tanpa dirimu,sedih
apakah disana kau rindukan aku,sedih
seperti diriku yang selalu merindukanmu,sedih
kupejamkan mata ini. mencoba untuk melupakan. segala kenangan indah tentang dirimu. tentang mimpiku. semakin aku mencoba. bayangmu semakin nyata. merasuk hingga ke jiwa. tuhan tolonglah diriku. entah dimana dirimu berada. hampa terasa hidupku tanpa dirimu. apakah disana kau rindukan aku. seperti diriku yang selalu merindukanmu. selalu merindukanmu. tidak bisa aku ingkari. engkaulah satu satunya. yang bisa membuat jiwaku. yang pernah mati menjadi berarti. namun kini kau menghilang. bagaikan ditelan bumi. tidak pernah kah kau sadari. arti cintamu untukku. entah dimana dirimu berada. hampa terasa hidupku tanpa dirimu. apakah disana kau rindukan aku. seperti diriku yang selalu merindukanmu. selalu merindukanmu. entah dimana dirimu berada. hampa terasa hidupku tanpa dirimu. apakah disana kau rindukan aku. seperti diriku yang selalu merindukanmu. selalu merindukanmu. entah dimana dirimu berada. hampa terasa hidupku tanpa dirimu. apakah disana kau rindukan aku. seperti diriku yang selalu merindukanmu. selalu merindukanmu entah dimana dirimu berada. hampa terasa hidupku tanpa dirimu. apakah disana kau rindukan aku. seperti diriku yang selalu merindukanmu. selalu merindukanmu,sedih
masih aku ingat selalu,sedih
saat kau berjanji padaku,sedih
takkan pernah ada cinta yang lainnya,sedih
saat kau kenali dirinya,sedih
sadarkah dirimu diriku terluka,sedih
saat kau sebut namanya,sedih
aku memang manusia biasa,sedih
yang tidak sempurna dan kadang salah,sedih
namun di hatiku hanya satu,sedih
cinta untukmu luar biasa,sedih
andaikan saja kau tahu,sedih
aku takkan mudah berubah,sedih
aku kan bertahan selalu bertahan,sedih
sampai waktu memanggilku,sedih
aku memang manusia biasa,sedih
yang tidak sempurna dan kadang salah,sedih
namun di hatiku hanya satu,sedih
cinta untukmu luar biasa,sedih
yang selalu merindukanku,sedih
aku memang manusia biasa,sedih
yang tidak sempurna dan kadang salah,sedih
namun di hatiku hanya satu,sedih
cinta untukmu luar biasa,sedih
aku memang manusia biasa,sedih
yang tidak sempurna dan kadang salah dan kadang salah,sedih
namun di hatiku hanya satu,sedih
cinta untukmu luar biasa,sedih
aku memang manusia biasa,sedih
yang tidak sempurna dan kadang salah,sedih
namun di hatiku hanya satu,sedih
cinta untukmu luar biasa,sedih
cinta padamu luar biasa,sedih
cinta untukmu luar biasa,sedih
aku memang manusia biasa,sedih
yang tidak sempurna dan kadang salah,sedih
namun di hatiku hanya satu,sedih
cinta untukmu luar biasa,sedih
andaikan saja kau tahu,sedih
aku takkan mudah berubah,sedih
aku kan bertahan selalu bertahan,sedih
sampai waktu memanggilku,sedih
masih aku ingat selalu. saat kau berjanji padaku. takkan pernah ada cinta yang lainnya. terasa begitu indah. tapi semua berbeda. saat kau kenali dirinya. sadarkah dirimu diriku terluka. saat kau sebut namanya. aku memang manusia biasa. yang tidak sempurna dan kadang salah. namun di hatiku hanya satu. cinta untukmu luar biasa. andaikan saja kau tahu. aku takkan mudah berubah. aku kan bertahan selalu bertahan. sampai waktu memanggilku. aku memang manusia biasa. yang tidak sempurna dan kadang salah. namun di hatiku hanya satu. cinta untukmu luar biasa. ke manakah dirimu. yang dulu cinta aku. di manakah dirimu. yang selalu merindukanku. oh . aku memang manusia biasa. yang tidak sempurna dan kadang salah. namun di hatiku hanya satu. cinta untukmu luar biasa. aku memang manusia biasa. yang tidak sempurna dan kadang salah dan kadang salah . namun di hatiku hanya satu. cinta untukmu luar biasa. aku memang manusia biasa . yang tidak sempurna dan kadang salah . namun di hatiku hanya satu. cinta untukmu luar biasa. cinta padamu luar biasa . cinta untukmu luar biasa. oh aku memang manusia biasa. yang tidak sempurna dan kadang salah. namun di hatiku hanya satu. cinta untukmu luar biasa. andaikan saja kau tahu. aku takkan mudah berubah. aku kan bertahan selalu bertahan. sampai waktu memanggilku,sedih
senja kini berganti malam,sedih
menutup hari yang lelah,sedih
dimanakah engkau berada,sedih
aku tidak tahu dimana,sedih
pernah kita lalui semua,sedih
jerit tangis canda tawa,sedih
kini hanya untaian kata,sedih
hanya itulah yang aku punya,sedih
tidurlah selamat malam,sedih
mimpilah dalam tidurmu,sedih
sesungguhnya aku tidak bisa,sedih
perpisahan bukanlah duka,sedih
meski harus menyisakan luka,sedih
tidurlah selamat malam,sedih
mimpilah dalam tidurmu,sedih
tidurlah selamat malam,sedih
mimpilah dalam tidurmu,sedih
mimpilah dalam tidurmu,sedih
tidurlah selamat malam,sedih
mimpilah dalam tidurmu,sedih
senja kini berganti malam. menutup hari yang lelah. dimanakah engkau berada. aku tidak tahu dimana. pernah kita lalui semua. jerit tangis canda tawa. kini hanya untaian kata. hanya itulah yang aku punya. tidurlah selamat malam. lupakan sajalah aku. mimpilah dalam tidurmu. bersama bintang. sesungguhnya aku tidak bisa. jalani waktu tanpamu. perpisahan bukanlah duka. meski harus menyisakan luka. tidurlah selamat malam. lupakan sajalah aku. mimpilah dalam tidurmu. bersama bintang. tidurlah selamat malam. lupakan sajalah aku. mimpilah dalam tidurmu. bersama bintang. lupakan diriku. lupakan aku. mimpilah dalam tidurmu. bersama bintang. oh tidurlah selamat malam. lupakan sajalah aku. mimpilah dalam tidurmu. bersama bintang,sedih
aku berjalan menyusuri malam,sedih
aku bedoa semoga saja,sedih
kau harus bisa seperti aku,sedih
yang sudah biarlah sudah,sedih
andai saja cintamu seperti cintaku,sedih
selang waktu berjalan kau kembali datang,sedih
kau tidak berhak tanyakan hidupku,sedih
membuatku semakin terluka,sedih
coba saja lukamu seperti lukaku,sedih
kau tidak berhak tanyakan keadaanku,sedih
kau tidak berhak tanyakan keadaanku,sedih
andai saja cintamu seperti cintaku,sedih
andai saja cintamu seperti cintaku,sedih
