lyrics,emotion,lirik_clean
mengajarkanku apa artinya kenyamanan,bahagia,ajar apa arti nyaman
tidak pernah terbayangkan olehku,bahagia,pernah bayang oleh
bila kau tinggalkan aku,bahagia,bila kau tinggal aku
hancurlah hatiku musnah harapanku sayang,bahagia,hancur hati musnah harap sayang
mengajarkanku apa artinya kenyamanan,bahagia,ajar apa arti nyaman
mengajarkanku apa artinya kenyamanan,bahagia,ajar apa arti nyaman
mengajarkanku apa artinya kenyamanan,bahagia,ajar apa arti nyaman
mengajarkanku apa artinya kenyamanan,bahagia,ajar apa arti nyaman
kau dan aku tercipta oleh waktu. hanya untuk saling mencintai. mungkin kita ditakdirkan bersama. rajut kasih jalin cinta. berada dipelukanmu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta. berdua bersamamu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta. kau dan aku tercipta oleh waktu. hanya untuk saling mencintai. mungkin kita ditakdirkan bersama. merajut kasih menjalin cinta. berada dipelukanmu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta. berdua bersamamu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta. tidak pernah terbayangkan olehku. bila kau tinggalkan aku. hancurlah hatiku musnah harapanku sayang. berada dipelukanmu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta. berdua bersamamu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta berada dipelukanmu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta. berdua bersamamu. mengajarkanku apa artinya kenyamanan. kesempurnaan cinta,bahagia,kau aku cipta waktu untuk saling cinta mungkin takdir sama rajut kasih jalin cinta ada peluk ajar apa arti nyaman sempurna cinta dua sama ajar apa arti nyaman sempurna cinta kau aku cipta waktu untuk saling cinta mungkin takdir sama rajut kasih jalin cinta ada peluk ajar apa arti nyaman sempurna cinta dua sama ajar apa arti nyaman sempurna cinta pernah bayang oleh bila kau tinggal aku hancur hati musnah harap sayang ada peluk ajar apa arti nyaman sempurna cinta dua sama ajar apa arti nyaman sempurna cinta ada peluk ajar apa arti nyaman sempurna cinta dua sama ajar apa arti nyaman sempurna cinta
kutrima suratmu `tlah kubaca dan aku mengerti,sedih,kutrima surat tlah baca aku erti
betapa merindunya dirimu akan hadirnya diriku,sedih,betapa rindu diri hadir diri
didalam hari harimu bersama lagi,sedih,dalam hari hari sama
kau tanyakan padaku kapan aku akan kembali lagi,sedih,kau tanya pada kapan aku kembali
katamu kau tidak kuasa melawan gejolak didalam dada,sedih,kata kau kuasa lawan gejolak dalam dada
yang membara menahan rasa pertemuan kita nanti,sedih,bara tahan rasa temu nanti
semakin membuatku `tak berdaya,sedih,makin buat tak daya
menahan rasa ingin jumpa,sedih,tahan rasa jumpa
percayalah padaku akupun rindu kamu,sedih,percaya pada aku rindu kamu
aku akan pulang melepas semua kerinduan,sedih,aku pulang lepas semua rindu
yang terpendam kau tuliskan padaku kata cinta,sedih,pendam kau tulis pada kata cinta
yang manis dalam suratmu,sedih,manis surat
kau katakan padaku saat ini,sedih,kau kata pada ini
kuingin hangat pelukmu,sedih,ingin hangat peluk
dan belai lembut kasihmu,sedih,belai lembut kasih
takkan kulupa slamanya,sedih,tak lupa slamanya
saat kau ada di sisiku,sedih,kau di sisi
sudah simpan saja sedihmu itu,sedih,simpan sedih
semakin membuatku `tak berdaya,sedih,makin buat tak daya
menahan rasa ingin jumpa,sedih,tahan rasa jumpa
percayalah padaku akupun rindu kamu,sedih,percaya pada aku rindu kamu
aku akan pulang melepas semua kerinduan,sedih,aku pulang lepas semua rindu
kutrima suratmu `tlah kubaca dan aku mengerti. betapa merindunya dirimu akan hadirnya diriku. didalam hari harimu bersama lagi. kau tanyakan padaku kapan aku akan kembali lagi. katamu kau tidak kuasa melawan gejolak didalam dada. yang membara menahan rasa pertemuan kita nanti. saat bersama dirimu. semua kata rindumu. semakin membuatku `tak berdaya. menahan rasa ingin jumpa. percayalah padaku akupun rindu kamu. aku akan pulang melepas semua kerinduan. yang terpendam kau tuliskan padaku kata cinta. yang manis dalam suratmu. kau katakan padaku saat ini. kuingin hangat pelukmu. dan belai lembut kasihmu. takkan kulupa slamanya. saat kau ada di sisiku. jangan katakan cinta. menambah beban rasa. sudah simpan saja sedihmu itu. aku akan datang semua kata rindumu. semakin membuatku `tak berdaya. menahan rasa ingin jumpa. percayalah padaku akupun rindu kamu. aku akan pulang melepas semua kerinduan. yang terpendam,sedih,kutrima surat tlah baca aku erti betapa rindu diri hadir diri dalam hari hari sama kau tanya pada kapan aku kembali kata kau kuasa lawan gejolak dalam dada bara tahan rasa temu nanti sama diri semua kata rindu makin buat tak daya tahan rasa jumpa percaya pada aku rindu kamu aku pulang lepas semua rindu pendam kau tulis pada kata cinta manis surat kau kata pada ini ingin hangat peluk belai lembut kasih tak lupa slamanya kau di sisi jangan kata cinta tambah beban rasa simpan sedih aku datang semua kata rindu makin buat tak daya tahan rasa jumpa percaya pada aku rindu kamu aku pulang lepas semua rindu pendam
ku ingin cinta hadir untuk selamanya,sedih,ku cinta hadir lama
bukan hanyalah untuk sementara,sedih,bukan hanya sementara
terbit tenggelam bagai pelangi,sedih,terbit tenggelam bagai pelangi
yang indahnya hanya sesaat,sedih,indah saat
untuk kulihat dia mewarnai hari,sedih,lihat warna hari
tetaplah engkau di sini,sedih,tetap engkau sini
jangan datang lalu kau pergi,sedih,jangan datang lalu kau pergi
jangan anggap hatiku jadi tempat persinggahanmu,sedih,jangan anggap hati jadi tempat singgah
mengapa aku tidak bisa jadi cinta yang takkan pernah terganti,sedih,aku bisa jadi cinta tak pernah ganti
cinta yang takkan terjadi,sedih,cinta tak jadi
lalu mengapa kau masih di sini,sedih,lalu kau di sini
memperpanjang harapan,sedih,panjang harap
tetaplah engkau di sini,sedih,tetap engkau sini
jangan datang lalu kau pergi,sedih,jangan datang lalu kau pergi
jangan anggap hatiku jadi tempat persinggahanmu,sedih,jangan anggap hati jadi tempat singgah
kau bagai kapal yang terus melaju,sedih,kau bagai kapal terus laju
di luasnya ombak samudera biru,sedih,luas ombak samudera biru
namun sayangnya kau tidak pilih aku,sedih,sayang kau pilih aku
tetaplah engkau di sini,sedih,tetap engkau sini
jangan datang lalu kau pergi,sedih,jangan datang lalu kau pergi
jangan anggap hatiku jadi tempat persinggahanmu,sedih,jangan anggap hati jadi tempat singgah
bila tidak ingin di sini,sedih,bila ingin sini
jangan berlalu lalang lagi,sedih,jangan lalu lalang
biarkanlah hatiku mencari cinta sejati,sedih,biar hati cari cinta sejati
tetaplah engkau di sini,sedih,tetap engkau sini
jangan datang lalu kau pergi,sedih,jangan datang lalu kau pergi
jangan anggap hatiku jadi tempat persinggahanmu,sedih,jangan anggap hati jadi tempat singgah
bila tidak ingin di sini,sedih,bila ingin sini
jangan berlalu lalang lagi,sedih,jangan lalu lalang
biarkanlah hatiku mencari cinta sejati,sedih,biar hati cari cinta sejati
ku ingin cinta hadir untuk selamanya. bukan hanyalah untuk sementara. menyapa dan hilang. terbit tenggelam bagai pelangi. yang indahnya hanya sesaat. untuk kulihat dia mewarnai hari. tetaplah engkau di sini. jangan datang lalu kau pergi. jangan anggap hatiku jadi tempat persinggahanmu. untuk cinta sesaat. mengapa aku tidak bisa jadi cinta yang takkan pernah terganti. cinta yang takkan terjadi. lalu mengapa kau masih di sini. memperpanjang harapan. tetaplah engkau di sini. jangan datang lalu kau pergi. jangan anggap hatiku jadi tempat persinggahanmu. untuk cinta sesaat. kau bagai kapal yang terus melaju. di luasnya ombak samudera biru. namun sayangnya kau tidak pilih aku. jadi pelabuhanmu. tetaplah engkau di sini. jangan datang lalu kau pergi. jangan anggap hatiku jadi tempat persinggahanmu. bila tidak ingin di sini. jangan berlalu lalang lagi. biarkanlah hatiku mencari cinta sejati. wahai cintaku. wahai cinta sesaat. tetaplah engkau di sini. jangan datang lalu kau pergi. jangan anggap hatiku jadi tempat persinggahanmu. bila tidak ingin di sini. jangan berlalu lalang lagi. biarkanlah hatiku mencari cinta sejati. wahai cintaku. wahai cinta sesaat.,sedih,ku cinta hadir lama bukan hanya sementara sapa hilang terbit tenggelam bagai pelangi indah saat lihat warna hari tetap engkau sini jangan datang lalu kau pergi jangan anggap hati jadi tempat singgah cinta saat aku bisa jadi cinta tak pernah ganti cinta tak jadi lalu kau sini panjang harap tetap engkau sini jangan datang lalu kau pergi jangan anggap hati jadi tempat singgah cinta saat kau bagai kapal terus laju luas ombak samudera biru sayang kau pilih aku jadi labuh tetap engkau sini jangan datang lalu kau pergi jangan anggap hati jadi tempat singgah bila ingin sini jangan lalu lalang biar hati cari cinta sejati wahai cinta wahai cinta saat tetap engkau sini jangan datang lalu kau pergi jangan anggap hati jadi tempat singgah bila ingin di sini jangan lalu lalang biar hati cari cinta sejati wahai cinta wahai cinta saat
saat pertama kali aku lihatmu,bahagia,pertama kali aku lihat
dan jujur aku tidak pernah merasa,bahagia,jujur aku pernah rasa
aku tidak pernah merasa begini,bahagia,aku pernah rasa begini
oh mungkin inikah cinta,bahagia,mungkin ini cinta
pandangan yang pertama,bahagia,pandang pertama
karena apa yang aku rasa ini tidak biasa,bahagia,apa aku rasa tidak biasa
aku mulai jatuh cinta,bahagia,aku mulai jatuh cinta
dari mata kau buatku jatuh,bahagia,mata kau buat jatuh
jatuh terus jatuh ke hati,bahagia,jatuh terus jatuh hati
aku mulai jatuh cinta,bahagia,aku mulai jatuh cinta
dari mata kau buatku jatuh,bahagia,mata kau buat jatuh
jatuh terus jatuh ke hati,bahagia,jatuh terus jatuh hati
saat pertama kali aku lihatmu,bahagia,pertama kali aku lihat
dan jujur aku tidak pernah merasa,bahagia,jujur aku pernah rasa
aku tidak pernah merasa begini,bahagia,aku pernah rasa begini
oh mungkin inikah cinta,bahagia,mungkin ini cinta
pandangan yang pertama,bahagia,pandang pertama
karena apa yang aku rasa ini tidak biasa,bahagia,apa aku rasa tidak biasa
aku mulai jatuh cinta,bahagia,aku mulai jatuh cinta
dari mata kau buatku jatuh,bahagia,mata kau buat jatuh
jatuh terus jatuh ke hati,bahagia,jatuh terus jatuh hati
aku mulai jatuh cinta,bahagia,aku mulai jatuh cinta
dari mata kau buatku jatuh,bahagia,mata kau buat jatuh
jatuh terus jatuh ke hati,bahagia,jatuh terus jatuh hati
aku mulai jatuh cinta,bahagia,aku mulai jatuh cinta
dari mata kau buatku jatuh,bahagia,mata kau buat jatuh
jatuh terus jatuh ke hati,bahagia,jatuh terus jatuh hati
matamu melemahkanku. saat pertama kali aku lihatmu. dan jujur aku tidak pernah merasa. aku tidak pernah merasa begini. oh mungkin inikah cinta. pandangan yang pertama. karena apa yang aku rasa ini tidak biasa. jika benar ini cinta. mulai dari mana. oh dari mana. dari matamu matamu. aku mulai jatuh cinta. aku melihat melihat. ada bayangan. dari mata kau buatku jatuh. jatuh terus jatuh ke hati. dari matamu matamu. aku mulai jatuh cinta. aku melihat melihat. ada bayangan. dari mata kau buatku jatuh. jatuh terus jatuh ke hati. matamu melemahkanku. saat pertama kali aku lihatmu. dan jujur aku tidak pernah merasa. aku tidak pernah merasa begini. oh mungkin inikah cinta. pandangan yang pertama. karena apa yang aku rasa ini tidak biasa. jika benar ini cinta. mulai dari mana. oh dari mana. dari matamu matamu. aku mulai jatuh cinta. aku melihat melihat. ada bayangan. dari mata kau buatku jatuh. jatuh terus jatuh ke hati. dari matamu matamu. aku mulai jatuh cinta. aku melihat melihat. ada bayangan. dari mata kau buatku jatuh. jatuh terus jatuh ke hati dari matamu matamu. aku mulai jatuh cinta. aku melihat melihat. ada bayangan. dari mata kau buatku jatuh. jatuh terus jatuh ke hati,bahagia,mata lemah pertama kali aku lihat jujur aku pernah rasa aku pernah rasa begini mungkin ini cinta pandang pertama apa aku rasa biasa benar cinta mulai mana mana mata mata aku mulai jatuh cinta aku lihat lihat bayang mata kau buat jatuh jatuh terus jatuh hati mata mata aku mulai jatuh cinta aku lihat lihat bayang mata kau buat jatuh jatuh terus jatuh hati mata lemah pertama kali aku lihat jujur aku pernah rasa aku tidak pernah rasa begini mungkin ini cinta pandang pertama apa aku rasa tidak biasa benar cinta mulai mana mana mata mata aku mulai jatuh cinta aku lihat lihat bayang mata kau buat jatuh jatuh terus jatuh hati mata mata aku mulai jatuh cinta aku lihat lihat bayang mata kau buat jatuh jatuh terus jatuh hati dari mata mata aku mulai jatuh cinta aku lihat lihat bayang dari mata kau buat jatuh jatuh terus jatuh hati
dengarkanlah wanita pujaanku,takut,dengar wanita puja
malam ini akan kusampaikan,takut,malam akan sampai
hasrat suci kepadamu dewiku,takut,hasrat suci kepada dewi
dengarkanlah kesungguhan ini,takut,dengar sungguh
aku ingin mempersuntingmu,takut,aku sunting
untuk yang pertama dan terakhir,takut,yang pertama akhir
jangan kau tolak dan buatku hancur,takut,jangan kau tolak buat hancur
aku tidak akan mengulang untuk meminta,takut,aku akan ulang minta
satu keyakinan hatiku ini,takut,satu yakin hati
akulah yang terbaik untukmu,takut,aku baik untuk
dengarkanlah wanita impianku,takut,dengar wanita impi
malam ini akan kusampaikan,takut,malam akan sampai
janji suci satu untuk selamanya,takut,janji suci satu lama
dengarkanlah kesungguhan ini,takut,dengar sungguh
aku ingin mempersuntingmu,takut,aku sunting
untuk yang pertama dan terakhir,takut,yang pertama akhir
jangan kau tolak dan buatku hancur,takut,jangan kau tolak buat hancur
aku tidak akan mengulang untuk meminta,takut,aku akan ulang minta
satu keyakinan hatiku ini,takut,satu yakin hati
akulah yang terbaik untukmu,takut,aku baik untuk
jangan kau tolak dan buatku hancur,takut,jangan kau tolak buat hancur
aku tidak akan mengulang untuk meminta,takut,aku akan ulang minta
satu keyakinan hatiku ini,takut,satu yakin hati
akulah yang terbaik untukmu,takut,aku baik untuk
jangan kau tolak dan buatku hancur,takut,jangan kau tolak buat hancur
aku tidak akan mengulang untuk meminta,takut,aku akan ulang minta
satu keyakinan hatiku ini,takut,satu yakin hati
akulah yang terbaik untukmu,takut,aku baik untuk
akulah yang terbaik untukmu…,takut,aku baik untuk
jangan kau tolak dan buatku hancur,takut,jangan kau tolak buat hancur
aku tidak akan mengulang untuk meminta,takut,aku akan ulang minta
satu keyakinan hatiku ini,takut,satu yakin hati
akulah yang terbaik untukmu,takut,aku baik untuk
dengarkanlah wanita pujaanku. malam ini akan kusampaikan. hasrat suci kepadamu dewiku. dengarkanlah kesungguhan ini. aku ingin mempersuntingmu. untuk yang pertama dan terakhir. jangan kau tolak dan buatku hancur. aku tidak akan mengulang untuk meminta. satu keyakinan hatiku ini. akulah yang terbaik untukmu. dengarkanlah wanita impianku. malam ini akan kusampaikan. janji suci satu untuk selamanya. dengarkanlah kesungguhan ini. aku ingin mempersuntingmu. untuk yang pertama dan terakhir. jangan kau tolak dan buatku hancur. aku tidak akan mengulang untuk meminta. satu keyakinan hatiku ini. akulah yang terbaik untukmu. jangan kau tolak dan buatku hancur. aku tidak akan mengulang untuk meminta. satu keyakinan hatiku ini. akulah yang terbaik untukmu. jangan kau tolak dan buatku hancur. aku tidak akan mengulang untuk meminta. satu keyakinan hatiku ini. akulah yang terbaik untukmu. akulah yang terbaik untukmu… jangan kau tolak dan buatku hancur. aku tidak akan mengulang untuk meminta. satu keyakinan hatiku ini. akulah yang terbaik untukmu,takut,dengar wanita puja malam akan sampai hasrat suci kepada dewi dengar sungguh aku sunting pertama akhir jangan kau tolak buat hancur aku akan ulang minta satu yakin hati aku baik untuk dengar wanita impi malam akan sampai janji suci satu lama dengar sungguh aku sunting pertama akhir jangan kau tolak buat hancur aku akan ulang minta satu yakin hati aku baik untuk jangan kau tolak buat hancur aku akan ulang minta satu yakin hati aku baik untuk jangan kau tolak buat hancur aku akan ulang minta satu yakin hati aku baik untuk aku yang baik untuk jangan kau tolak buat hancur aku akan ulang minta satu yakin hati aku yang baik untuk
tak pernah aku memberi mawar merah,takut,tak pernah aku beri mawar merah
atau sebait puisi yang indah,takut,bait puisi indah
aku lihat perlahan kau mulai gerah,takut,aku lihat perlahan kau mulai gerah
aku takut kau jadikan aku sejarah,takut,aku takut kau jadi aku sejarah
bila kau marah janganlah engkau pergi,takut,bila kau marah jangan engkau pergi
tetaplah disini dengarkan aku bernyanyi,takut,tetap sini dengar aku nyanyi
aku enggak mau jadi mataharimu,takut,aku enggak mau jadi matahari
karena itu akan membuatku jauh,takut,itu buat jauh
aku enggak mau jadi bintang bintangmu,takut,aku enggak mau jadi bintang bintang
walau indah itu juga kan jauh,takut,indah juga kan jauh
yang aku mau menjadi udaramu,takut,aku mau jadi udara
selalu setia tiap helai nafasmu,takut,selalu setia tiap helai nafas
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis tis tis tis tis,takut,maaf aku enggak romantis tis tis tis tis
bila kau marah janganlah engkau pergi,takut,bila kau marah jangan engkau pergi
tetaplah disini dengarkan aku bernyanyi uuuhh,takut,tetap sini dengar aku nyanyi uuuhh
aku enggak mau jadi mataharimu,takut,aku enggak mau jadi matahari
karena itu akan membuatku jauh,takut,itu buat jauh
aku enggak mau jadi bintang bintangmu,takut,aku enggak mau jadi bintang bintang
walau indah itu juga kan jauh,takut,indah juga kan jauh
yang aku mau menjadi udaramu,takut,aku mau jadi udara
selalu setia tiap helai nafasmu,takut,selalu setia tiap helai nafas
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis mmm heaah,takut,maaf aku enggak romantis mmm heaah
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis tis tis tis tis,takut,maaf aku enggak romantis tis tis tis tis
aku enggak mau jadi mataharimu,takut,aku enggak mau jadi matahari
karena itu akan membuatku jauh,takut,itu buat jauh
aku enggak mau jadi bintang bintangmu,takut,aku enggak mau jadi bintang bintang
walau indah itu juga kan jauh,takut,indah juga kan jauh
yang aku mau menjadi udaramu,takut,aku mau jadi udara
selalu setia tiap helai nafasmu,takut,selalu setia tiap helai nafas
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis tis tis tis tis,takut,maaf aku enggak romantis tis tis tis tis
aku enggak mau jadi mataharimu,takut,aku enggak mau jadi matahari
karena itu akan membuatku jauh,takut,itu buat jauh
aku enggak mau jadi bintang bintangmu,takut,aku enggak mau jadi bintang bintang
walau indah itu juga kan jauh,takut,indah juga kan jauh
yang aku mau menjadi udaramu,takut,aku mau jadi udara
selalu setia tiap helai nafasmu,takut,selalu setia tiap helai nafas
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis,takut,maaf aku enggak romantis
maaf aku enggak romantis tis tis tis tis,takut,maaf aku enggak romantis tis tis tis tis
tak pernah aku memberi mawar merah. atau sebait puisi yang indah. aku lihat perlahan kau mulai gerah. aku takut kau jadikan aku sejarah. bila kau marah janganlah engkau pergi. tetaplah disini dengarkan aku bernyanyi. aku enggak mau jadi mataharimu. karena itu akan membuatku jauh. aku enggak mau jadi bintang bintangmu. walau indah itu juga kan jauh. yang aku mau menjadi udaramu. selalu setia tiap helai nafasmu. aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis tis tis tis tis . bila kau marah janganlah engkau pergi. tetaplah disini dengarkan aku bernyanyi uuuhh . aku enggak mau jadi mataharimu. karena itu akan membuatku jauh. aku enggak mau jadi bintang bintangmu. walau indah itu juga kan jauh. yang aku mau menjadi udaramu. selalu setia tiap helai nafasmu. aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis mmm heaah. aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis tis tis tis tis . aku enggak mau jadi mataharimu. karena itu akan membuatku jauh. aku enggak mau jadi bintang bintangmu. walau indah itu juga kan jauh. yang aku mau menjadi udaramu. selalu setia tiap helai nafasmu. aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis tis tis tis tis aku enggak mau jadi mataharimu. karena itu akan membuatku jauh. aku enggak mau jadi bintang bintangmu. walau indah itu juga kan jauh. yang aku mau menjadi udaramu. selalu setia tiap helai nafasmu. aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis. maaf aku enggak romantis tis tis tis tis,takut,tak pernah aku beri mawar merah bait puisi indah aku lihat perlahan kau mulai gerah aku takut kau jadi aku sejarah bila kau marah jangan engkau pergi tetap sini dengar aku nyanyi aku enggak mau jadi matahari buat jauh aku enggak mau jadi bintang bintang indah juga kan jauh aku mau jadi udara selalu setia tiap helai nafas aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis tis tis tis tis bila kau marah jangan engkau pergi tetap sini dengar aku nyanyi uuuhh aku enggak mau jadi matahari buat jauh aku enggak mau jadi bintang bintang indah juga kan jauh aku mau jadi udara selalu setia tiap helai nafas aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis mmm heaah aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis tis tis tis tis aku enggak mau jadi matahari itu buat jauh aku enggak mau jadi bintang bintang indah itu juga kan jauh aku mau jadi udara selalu setia tiap helai nafas aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis tis tis tis tis aku enggak mau jadi matahari itu buat jauh aku enggak mau jadi bintang bintang indah itu juga kan jauh aku mau jadi udara selalu setia tiap helai nafas aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis maaf aku enggak romantis tis tis tis tis
untukmu yang duduk sambil diskusi,marah,untuk duduk diskusi
untukmu yang biasa bersafari,marah,untuk biasa safar
di sana di gedung dpr,marah,sana gedung dpr
wakil rakyat kumpulan orang hebat,marah,wakil rakyat kumpul orang hebat
bukan kumpulan teman teman dekat,marah,bukan kumpul teman teman dekat
di hati dan lidahmu kami berharap,marah,hati lidah harap
suara kami tolong dengar lalu sampaikan,marah,suara tolong dengar lalu sampai
jangan ragu jangan takut karang menghadang,marah,jangan ragu jangan takut karang menghadang
bicaralah yang lantang jangan hanya diam,marah,bicara lantang jangan diam
di kantong safarimu kami titipkan,marah,kantong safari titip
masa depan kami dan negeri ini,marah,masa depan dan negeri
dari sabang sampai merauke,marah,sabang merauke
saudara dipilih bukan dilotre,marah,saudara pilih bukan lotre
meski kami tidak kenal siapa saudara,marah,meski tidak kenal siapa saudara
kami tidak sudi memilih para juara,marah,tidak sudi pilih juara
juara diam juara he eh juara hahaha,marah,juara diam juara he eh juara hahaha
untukmu yang duduk sambil diskusi,marah,untuk duduk diskusi
untukmu yang biasa bersafari,marah,untuk biasa safar
di sana di gedung dpr,marah,sana gedung dpr
di hati dan lidahmu kami berharap,marah,hati lidah harap
suara kami tolong dengar lalu sampaikan,marah,suara tolong dengar lalu sampai
jangan ragu jangan takut karang menghadang,marah,jangan ragu jangan takut karang menghadang
bicaralah yang lantang jangan hanya diam,marah,bicara lantang jangan diam
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
wakil rakyat bukan paduan suara,marah,wakil rakyat bukan padu suara
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
wakil rakyat bukan paduan suara,marah,wakil rakyat bukan padu suara
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
wakil rakyat bukan paduan suara,marah,wakil rakyat bukan padu suara
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
wakil rakyat bukan paduan suara,marah,wakil rakyat bukan padu suara
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
wakil rakyat bukan paduan suara,marah,wakil rakyat bukan padu suara
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
wakil rakyat bukan paduan suara,marah,wakil rakyat bukan padu suara
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
wakil rakyat seharusnya merakyat,marah,wakil rakyat rakyat
jangan tidur waktu sidang soal rakyat,marah,jangan tidur waktu sidang soal rakyat
hanya tahu nyanyian lagu setuju,marah,tahu nyanyi lagu tuju
di kantong safarimu kami titipkan,marah,kantong safari titip
masa depan kami dan negeri ini,marah,masa depan dan negeri
dari sabang sampai meroke,marah,sabang meroke
saudara dipilih bukan dilotre,marah,saudara pilih bukan lotre
meski kami tidak kenal siapa saudara,marah,meski tidak kenal siapa saudara
kami tidak sudi memilih para juara,marah,tidak sudi pilih juara
juara diam juara he eh juara ha ha ha,marah,juara diam juara he eh juara ha ha ha
